GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
MicroserviceApplication,com.app.dto,ContactRequest,41,3,0,0,15,1,8,1,8,1
MicroserviceApplication,com.app.dto,ContactResponse,18,3,0,0,7,1,5,1,5,1
MicroserviceApplication,com.app.service,ContactService,67,3,2,0,16,1,5,1,4,1
MicroserviceApplication,com.app,MainApp,8,7,0,0,3,2,1,2,1,2
MicroserviceApplication,com.app.model,Contact,39,19,0,0,14,6,10,1,10,1
MicroserviceApplication,com.app.controller,ContactController,33,3,0,0,8,1,4,1,4,1
